Designator,Footprint,Quantity,Value,LCSC Part #
0402,0402,1,C_US,
0603,0603,1,C_US,
0805,0805,1,C_US,
1206,1206,1,C_US,
6X6MM TACTILE,SW_PUSH_6mm_H5mm,1,SW_MEC_5E,
BARREL JACK,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Barrel_Jack,
LED,LED_D3.0mm,1,LED,
QFN32,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP32-C3FH4,C2858491
RESISTOR,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R_US,
SOIC-8,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555D,
THT HEADERS,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,
USB A,USB-A-TH_10.0QHHTZB6.3,1,10.0 QHHTZB6.3,C668591
USB C,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
